RFC Accuracy,KNC Accuracy,learning_rate
0.5555555555555556,0.4444444444444444,0.001
0.6,0.3,0.002
0.7,0.4,0.003
0.7333333333333333,0.5333333333333333,0.004
0.4166666666666667,0.4166666666666667,0.005
0.4166666666666667,0.5,0.006
0.3333333333333333,0.5,0.007
0.3333333333333333,0.25,0.008
0.6428571428571429,0.5714285714285714,0.009
0.46153846153846156,0.6153846153846154,0.01
0.6,0.4666666666666667,0.02
0.47058823529411764,0.7058823529411765,0.03
0.5714285714285714,0.6666666666666666,0.04
0.5416666666666666,0.4583333333333333,0.05
0.5,0.5,0.06
0.6206896551724138,0.4482758620689655,0.07
0.7,0.6,0.08
0.5161290322580645,0.5806451612903226,0.09
0.4,0.4,0.1
0.625,0.5833333333333334,0.2
0.6785714285714286,0.6428571428571429,0.3
0.75,0.7,0.4
0.6060606060606061,0.5757575757575758,0.5
0.7866666666666666,0.6266666666666667,0.6
0.8518518518518519,0.7777777777777778,0.7
0.7901234567901234,0.7654320987654321,0.8
0.8181818181818182,0.7613636363636364,0.9
0.8775510204081632,0.8061224489795918,1
0.41964285714285715,0.41964285714285715,0.000001
0.4375,0.4375,0.000002
0.45535714285714285,0.4375,0.000003
0.45132743362831856,0.4690265486725664,0.000004
0.45535714285714285,0.44642857142857145,0.000005
0.4732142857142857,0.45535714285714285,0.000006
0.4732142857142857,0.45535714285714285,0.000007
0.4336283185840708,0.3893805309734513,0.000008
0.4247787610619469,0.3893805309734513,0.000009
0.4247787610619469,0.3893805309734513,0.00001
0.3963963963963964,0.36936936936936937,0.00002
0.4864864864864865,0.45045045045045046,0.00003
0.46846846846846846,0.45045045045045046,0.00004
0.45535714285714285,0.42857142857142855,0.00005
0.43636363636363634,0.43636363636363634,0.00006
0.4864864864864865,0.4594594594594595,0.00007
0.45871559633027525,0.44954128440366975,0.00008
0.46296296296296297,0.5277777777777778,0.00009
0.3333333333333333,0.4074074074074074,0.0001
0.4367816091954023,0.41379310344827586,0.0002
0.4375,0.484375,0.0003
0.4782608695652174,0.5,0.0004
0.6176470588235294,0.5294117647058824,0.0005
0.43333333333333335,0.4666666666666667,0.0006
0.4444444444444444,0.48148148148148145,0.0007
0.5,0.5833333333333334,0.0008
0.42857142857142855,0.5714285714285714,0.0009
