0,1,2,breuni_class
-61.77797858509473,78.62528419039974,-13.698127018140866,fashion_lifestyle_elite
-163.73341482468587,30.556835183561436,-17.965217729543195,fashion_lifestyle_elite
339.6495538150958,30.058836024902995,-22.72603778404139,main_stream
-193.0226824846907,-4.488932769094992,34.10405289819738,fashion_lifestyle_elite
-238.55335915449464,136.04028852231212,-64.8450046035932,trendy
74.88713516291219,-173.72146872946308,-93.3651562930411,trendy
-99.03803543427091,51.26415711859349,-5.546571858300671,trendy
-219.71738045426775,-0.7442911628693454,-41.98973165322782,fashion_lifestyle_elite
-288.84526360042156,-113.55193148472925,38.99852579876641,fashion_lifestyle_elite
131.505623515175,26.656157791478833,82.60946970292468,main_stream
-243.31997681749405,-69.02082608698099,36.18806206201848,fashion_lifestyle_elite
-302.2579583713305,-125.79237516710523,37.67753678876822,main_stream
-112.09725541631475,69.65047565152003,-26.376119270696467,trendy
-146.44292693348038,37.69336545125076,-20.13682469786237,fashion_lifestyle_elite
102.77725388835846,90.55323984789432,-33.176099894098755,trendy
310.5938853656346,55.50479695267356,-99.58620312453614,main_stream
-346.4918211890796,-160.53482740971296,21.45618540712742,fashion_lifestyle_elite
105.8553002257413,50.70761965397103,80.70047071327677,trendy
435.6195110429933,-22.2980405162726,-36.253722139944216,main_stream
360.93864416254024,32.46299137179805,-46.00592484570193,main_stream
-131.90458665718424,59.25548831690374,-33.69671210203168,trendy
-335.3486888077031,-120.08508871267658,2.412447303349866,fashion_lifestyle_elite
-122.26290306355048,43.0549215723998,-10.046188772471924,trendy
-181.75313777435673,-12.974188637940527,38.38469802059716,trendy
318.24537745971566,56.48399332529122,-56.98782022417332,main_stream
-182.6772443236853,39.41175894216174,-36.52424200639349,fashion_lifestyle_elite
-317.14976248620724,-105.07355370627384,7.431854548409758,main_stream
443.8528926558212,-26.384270633210885,-42.61527395223625,main_stream
244.30771094042507,15.73260715768927,82.55668858052275,trendy
